brand,model,aggregateRating/ratingValue,aggregateRating/reviewCount,offers/price,offers/priceCurrency,depth,width,features/0/description,features/1/description
ASUS,K3502ZA-DS51,"1,0","1,0","899,99",USD,"9,0","14,0",Anti-glare Screen reduces eyestrain and widens the field of view. The 1920 x 1080 resolution boasts impressive color and clarity,"Smart Octa-core (8 Core) processing performance. Intel Turbo Boost Technology delivers dynamic extra power when you need it, while increasing energy efficiency when you don't."
Dell,3GCR6,"1,0","1,0","4489,99",USD,"10,0","15,0","Microsoft Windows 11 Pro gives you a user-friendly interface with useful features like the taskbar turning into the dock, the glass-like desktop, your favorite old widgets, and conveniently accessible snap layouts and groups that align side by side.",Anti-glare Screen reduces eyestrain and widens the field of view. The 1920 x 1080 resolution boasts impressive color and clarity
Lenovo,21KK000EUS,"5,0","1,0","859,99",USD,"9,98","14,01","Experience enhanced productivity and advanced security with Windows 11 Pro. Enjoy a sleek interface, seamless multitasking, and robust enterprise-grade features for optimized workflow, increased efficiency, and peace of mind, empowering you to achieve more with confidence.","Indulge in breathtaking visuals on a 14"" WUXGA IPS display, boasting a crisp 1920x1200 resolution and 300nits brightness. Experience exceptional clarity and vibrant colors for an immersive and eye-catching viewing experience on your laptop."
ASUS,M1505YA-ES74,"4,6","7,0","749,99",USD,"9,0","14,0",Windows 11 Home OS smartly manages your hardware and runs routine applications efficiently.,With NanoEdge Display Screen Technology. The 1920 x 1080 resolution boasts impressive color and clarity.
Microsoft,GSRF VGY-00001,"3,6","5,0","764,99",USD,"8,79","12,1","Brings back the Start menu from Windows 7 and introduces new features, such as the Edge web browser that lets you mark up web pages on your screen.",Natural finger-touch navigation makes the most of Windows 8. Its 2256 x 1504 resolution boasts impressive color and clarity. Energy-efficient LED backlight.
Acer,PH18-71-94F1,"3,8","16,0","2499,99",USD,"12,27","15,94","Windows 11 was designed with you at the center - to make life easier, more creative, secure, connected and fun! It's also faster with new features to help you get more done.","At 18” with a 16:10 aspect ratio, the pristine WQXGA (2560 x 1600) Mini-LED panel has a fast 250Hz refresh rate, NVIDIA Advanced Optimus & NVIDIA G-SYNC technology, 3ms Overdrive response time, HDR mode of 1000 nits and DCI-P3 100%."
Acer,SFX16-61G-R4J6,"3,0","2,0","1599,99",USD,"9,81","14,02","Windows 11 operating system was designed with you at the center - to make life easier, more creative, secure, connected and fun! It's also faster with new features to help you get more done.","A standout 16” 3.2K OLED display, with cinema-grade 100% DCI-P3 color gamut support, 120Hz refresh, 1ms response time & brilliant 400nits peak brightness, providing a sensational range of lifelike colors. Certified True Black HDR500 display offers deeper blacks & brighter whites."
Dell,PRECISION 7710-32304,"3,0","7,0","809,99",USD,"11,1","16,4","Built for business. Protect your data with enterprise-grade security, login from any device anywhere, and boost productivity with powerful management tools.",The 1920 x 1080 resolution boasts impressive color and clarity. IPS technology for wide viewing angles. Energy-efficient LED backlight.
ASUS,B1400CEA-XH51,"4,0","1,0","899,99",USD,"8,0","12,0","Built for business. Protect your data with enterprise-grade security, login from any device anywhere, and boost productivity with powerful management tools.",Anti-glare Screen reduces eyestrain and widens the field of view. The 1920 x 1080 resolution boasts impressive color and clarity
HP,ZBOOK 15 G3-32463,"3,9","13,0","549,99",USD,"10,4","15,2","Built for business. Protect your data with enterprise-grade security, login from any device anywhere, and boost productivity with powerful management tools.",The 1920 x 1080 resolution boasts impressive color and clarity. Energy-efficient LED backlight.
Lenovo,21HK0007US,"4,5","2,0","1759,99",USD,"10,06","0,81","Experience enhanced productivity and advanced security with Windows 11 Pro. Enjoy a sleek interface, seamless multitasking, and robust enterprise-grade features for optimized workflow, increased efficiency, and peace of mind, empowering you to achieve more with confidence.","Indulge in breathtaking visuals on a 16"" WUXGA IPS display, boasting a crisp 1920x1200 resolution and 300nits brightness. Experience exceptional clarity and vibrant colors for an immersive and eye-catching viewing experience on your laptop."
Microsoft,GSRF V4C-00022,"5,0","1,0","994,99",USD,"8,79","12,1","Brings back the Start menu from Windows 7 and introduces new features, such as the Edge web browser that lets you mark up web pages on your screen.",Natural finger-touch navigation makes the most of Windows 10. Its 2256 x 1504 resolution boasts impressive color and clarity. Energy-efficient LED backlight.
MSI,CREATOR1711471,"4,0","2,0","2349,99",USD,"10,0","15,0","Windows 10 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen.",IPS technology offers wide viewing angles. 3840 x 2160 resolution delivers amazing color and clarity
ASUS,GZ301ZC-PS73,"3,6","12,0","1799,99",USD,"8,0","11,0",IPS technology offers wide viewing angles. 1920 x 1200 resolution delivers amazing color and clarity,"Reams of high-bandwidth LPDDR5 RAM to smoothly run your graphics-heavy PC games and video-editing applications, as well as numerous programs and browser tabs all at once."
ASUS,H7600ZW-DB76,"2,0","2,0","2699,99",USD,"10,0","14,0",3840 x 2400 resolution delivers amazing color and clarity,"While offering less storage space than a hard drive, a flash-based SSD has no moving parts, resulting in faster start-up times and data access, no noise, and reduced heat production and power draw on the battery."
Acer,NX.VPDAA.003,"3,0","2,0","999,99",USD,"9,0","12,0","Microsoft Windows 11 Pro gives you a user-friendly interface with useful features like the taskbar turning into the dock, the glass-like desktop, your favorite old widgets, and conveniently accessible snap layouts and groups that align side by side.",IPS technology offers wide viewing angles. The 1920 x 1080 resolution boasts impressive color and clarity LED backlight.
Dell,E5570,"3,0","2,0","481,99",USD,"0,9","14,8","Built for business. Protect your data with enterprise-grade security, log in from any device anywhere, and boost productivity with the powerful management tools.","Its 1920 x 1080 resolution display produces crisp, vibrant images. It also features energy-efficient LED backlight."
ASUS,G533ZS-DS94,"5,0","6,0","2499,99",USD,"10,0","13,0",IPS technology offers wide viewing angles. 2560 x 1440 resolution delivers amazing color and clarity,"Reams of high-bandwidth DDR5 RAM to smoothly run your graphics-heavy PC games and video-editing applications, as well as numerous programs and browser tabs all at once."
ASUS,GA403UI-G14.R94070,"5,0","3,0","1999,99",USD,"0,63","8,66","Game, create, and maximize your productivity—Windows 11 is the one place for it all. With a fresh new feel and tools that make it easier to be efficient, Windows 11 has everything you need for whatever comes next.","Meet Copilot in Windows – your AI-powered assistant for quick answers, creative inspiration, and focused tasks. Boost productivity with fast answers, image generation, and more. Elevate your Windows 11 experience and unleash creativity!"
MSI,PRE16EVO14016,"3,0","1,0","1399,99",USD,"10,02","0,75","Windows 11 has all the power and security of Windows 10 with a redesigned and refreshed look. It also comes with new tools, sounds, and apps. Every detail has been considered. All of it comes together to bring you a refreshing experience on your PC.",The 2560 x 1600 resolution Energy-efficient LED backlight.
ASUS,S533EADH51,"4,4","40,0","692,99",USD,"0,63","14,2","This computer is compatible with great Windows 10 features such as Cortana and Windows Hello. Learn more about Windows 10 features  <a href=""/Windows10"" target=""_blank"" >Learn more ›</a>",Its 1920 x 1080 resolution showcases your games and HD movies with impressive color and clarity. The anti-glare finish reduces eyestrain and widens the field of view. IPS technology for wide viewing angles. LED backlight.
ASUS,GA403UV-G14.R94060,"5,0","1,0","1599,99",USD,"0,63","8,66","Game, create, and maximize your productivity—Windows 11 is the one place for it all. With a fresh new feel and tools that make it easier to be efficient, it has everything you need for whatever comes next.","Meet Copilot in Windows – your AI-powered assistant for quick answers, creative inspiration, and focused tasks. Boost productivity with fast answers, image generation, and more. Elevate your Windows 11 experience and unleash creativity!"
HP,840 G3-31676,"4,4","21,0","298,85",USD,"9,3","13,3","Built for business. Protect your data with enterprise-grade security, log in from any device anywhere, and boost productivity with powerful management tools.",1366 x 768 resolution showcases your games and HD movies with impressive color and clarity. Energy-efficient LED backlight.
Microsoft,GSRF THH-00035,"4,0","4,0","472,99",USD,"11,0","8,1","This computer is compatible with Windows 10 features such as Cortana and Windows Hello. Learn more about Windows 10 features. <a href=""/Windows10"" target=""_blank"" >Learn more ›</a>","The 12.4""⁷ PixelSense™ touch screen and signature 3:2 ratio give you the optimum space to see more, do more, and fuel your dreams."
Microsoft,GSRF V4G-00001,"4,3","7,0","917,99",USD,"8,79","13,4","Now with improved speed and performance to do what you want, Surface Laptop 3 15"" is over two times faster than Surface Laptop 2.",Its AMD Ryzen Microsoft Surface processor is designed to give you outstanding responsiveness with 15% more graphics performance (GPU) and 10% more processor performance when compared to other AMD mobile processors.¹
HP,14-dq0001dx,"4,4","3075,0","212,99",USD,"8,86","12,76","Windows 11 has all the power and security of Windows 10 with a redesigned and refreshed look. It also comes with new tools, sounds, and apps. Every detail has been considered. All of it comes together to bring you a refreshing experience on your PC.","With virtually no bezel encircling the display, an ultra-wide viewing experience provides for seamless multi-monitor set-ups."
Dell,PRECISION 7510-32297,"3,6","7,0","591,99",USD,"10,4","14,9","Built for business. Protect your data with enterprise-grade security, login from any device anywhere, and boost productivity with powerful management tools.",The 1920 x 1080 resolution boasts impressive color and clarity. Energy-efficient LED backlight.
Dell,26DYG,"1,0","1,0","3189,99",USD,"10,0","15,0","Microsoft Windows 11 Pro gives you a user-friendly interface with useful features like the taskbar turning into the dock, the glass-like desktop, your favorite old widgets, and conveniently accessible snap layouts and groups that align side by side.",Anti-glare Screen reduces eyestrain and widens the field of view. The 1920 x 1080 resolution boasts impressive color and clarity
Dell,5490,"4,3","12,0","396,99",USD,"9,0","13,1","Built for business. Protect your data with enterprise-grade security, log in from any device anywhere, and boost productivity with the powerful management tools.",Its 1920 x 1080 resolution showcases your games and HD movies with impressive color and clarity. The antireflective finish reduces eyestrain and widens the field of view.
Acer,PH18-71-76B3,"4,2","6,0","1999,99",USD,"12,27","15,94","Windows 11 was designed with you at the center - to make life easier, more creative, secure, connected and fun! It's also faster with new features to help you get more done.","At 18 inches with a 16:10 aspect ratio, the pristine WUXGA 2560 x 1600 LCD panel – this display clocks in with a fast 165Hz refresh, 100% sRGB, 300nit brightness and 3ms Overdrive response time. The addition of NVIDIA Advanced Optimus and NVIDIA G-SYNC."
Samsung,GSRF NP340XLA-KA1US,"2,8","5,0","349,99",USD,"12,7","8,0","Family, friends, obsessions, music, creations —Windows 11 is the one place for it all. With a fresh new feel and tools that make it easier to be efficient, it has what you need for whatever’s next.","Keep your cool with a powerful Qualcomm Snapdragon 7c Gen 2 compute platform that delivers responsive, instant-on performance that runs without a fan — for a lightweight device that’s fast and quiet."
Acer,NX.VN2AA.001,"5,0","1,0","429,99",USD,"8,0","11,0","Built for business. Protect your data with enterprise-grade security, login from any device anywhere, and boost productivity with powerful management tools.",IPS technology offers wide viewing angles. The 1920 x 1080 resolution boasts impressive color and clarity LED backlight.
MSI,Vector GP68HX 13VI-255US,"3,0","4,0","3199,99",USD,"11,18","14,06","Windows 11 has all the power and security of Windows 10 with a redesigned and refreshed look. It also comes with new tools, sounds, and apps. Every detail has been considered. All of it comes together to bring you a refreshing experience on your PC.",MSI gaming laptops are tailored for gamer with high resolution and refresh rate. Make your gaming world more lifelike and smooth than ever before.
MSI,GS6612246,"1,5","2,0","2729,99",USD,"9,65","14,17","Windows Pro offers speed, power, familiarity, and ease at a range of price points, delivering the latest features to enhance mobility without sacrificing performance.",1920 x 1080 resolution showcases your games and HD movies with impressive color and clarity. Antireflective finish reduces eyestrain and widens the field of view.
Microsoft,GSRF 5W6-00024,"4,0","2,0","900,99",USD,"9,6","13,4","Brings back the Start menu from Windows 7 and introduces new features, such as the Edge web browser that lets you mark up web pages on your screen.","With Windows Ink compatible computers, you can take notes on-screen, mark up photos and screen shots, or create content through Ink enabled apps. <a href=""/windowsink"" target=""_blank"" >Learn more ›</a>"
ASUS,F1704ZA-DS24,"1,0","2,0","499,99",USD,"10,0","15,0","Microsoft Windows 11 gives you a user-friendly interface with useful features like the taskbar turning into the dock, the glass-like desktop, your favorite old widgets, and conveniently accessible snap layouts and groups that align side by side.",With NanoEdge Display Screen Technology. The 1600 x 900 resolution boasts impressive color and clarity
Dell,J75WM,"5,0","1,0","1439,99",USD,"8,0","12,0","Built for business. Protect your data with enterprise-grade security, login from any device anywhere, and boost productivity with powerful management tools.",Anti-glare Screen reduces eyestrain and widens the field of view. The 1920 x 1080 resolution boasts impressive color and clarity
Dell,79T1D,"5,0","1,0","949,99",USD,"8,0","12,0","Microsoft Windows 11 Pro gives you a user-friendly interface with useful features like the taskbar turning into the dock, the glass-like desktop, your favorite old widgets, and conveniently accessible snap layouts and groups that align side by side.",Anti-glare Screen reduces eyestrain and widens the field of view. The 1920 x 1080 resolution boasts impressive color and clarity
Lenovo,21JN0040US,"4,0","2,0","939,99",USD,"9,75","0,78","Experience enhanced productivity and advanced security with Windows 11 Pro. Enjoy a sleek interface, seamless multitasking, and robust enterprise-grade features for optimized workflow, increased efficiency, and peace of mind, empowering you to achieve more with confidence.","Indulge in breathtaking visuals on a 16"" WUXGA IPS display, boasting a crisp 1920x1200 resolution and 300nits brightness. Experience exceptional clarity and vibrant colors for an immersive and eye-catching viewing experience on your laptop."
Dell,2H58M,"5,0","1,0","1039,99",USD,"8,3","12,7",The Windows 11 Pro operating system offers powerful platform to efficiently run routine applications.,1920x1080 resolution showcases your games and HD movies with impressive color and clarity.
Acer,AN16-41-R9ZH,"4,0","1,0","1649,99",USD,"11,02","14,18","Windows 11 operating system was designed with you at the center - to make life easier, more creative, secure, connected and fun! It's also faster with new features to help you get more done.","With a lightning-quick 165Hz refresh rate, the 16"" WQXGA display makes your game sessions fluid, unbroken, and unmatched. NVIDIA Advanced Optimus allows a laptop display to dynamically switch between the integrated graphics and the discrete graphics without having to reboot."
Lenovo,ThinkPad T470,"3,7","24,0","458,99",USD,"13,25","9,15","Built for business. Protect your data with enterprise-grade security, log in from any device anywhere, and boost productivity with powerful management tools.",Touch navigation makes the most of Windows 10. The 1920 x 1080 resolution boasts impressive color and clarity.
HP,650 G2,"3,3","4,0","431,99",USD,"14,9","10,1","Built for business. Protect your data with enterprise-grade security, log in from any device anywhere, and boost productivity with the powerful management tools.",Typical 1366 x 768 HD resolution.
Dell,5490,"5,0","3,0","365,99",USD,"9,0","13,1","Built for business. Protect your data with enterprise-grade security, log in from any device anywhere, and boost productivity with the powerful management tools.",Its 1920 x 1080 resolution showcases your games and HD movies with impressive color and clarity. The antireflective finish reduces eyestrain and widens the field of view.
Lenovo,21EX0008US,"5,0","1,0","1449,99",USD,"8,46","0,63","Experience enhanced productivity and advanced security with Windows 11 Pro. Enjoy a sleek interface, seamless multitasking, and robust enterprise-grade features for optimized workflow, increased efficiency, and peace of mind, empowering you to achieve more with confidence.","Experience stunning visuals on a compact 13.3"" WUXGA IPS display, featuring a vibrant 1920x1200 resolution and 300nits brightness. Enjoy exceptional clarity, vivid colors, and immersive detail for a captivating viewing experience on your laptop."
Lenovo,21HF000CUS,"5,0","1,0","1089,99",USD,"8,93","0,7","Experience enhanced productivity and advanced security with Windows 11 Pro. Enjoy a sleek interface, seamless multitasking, and robust enterprise-grade features for optimized workflow, increased efficiency, and peace of mind, empowering you to achieve more with confidence.","Indulge in breathtaking visuals on a 14"" WUXGA IPS display, boasting a crisp 1920x1200 resolution and 300nits brightness. Experience exceptional clarity and vibrant colors for an immersive and eye-catching viewing experience on your laptop."
